80,'25-10-2021 13:28:00',5,'de','762818927','25-10-2021 13:07:27','25-10-2021 13:28:00','A5','A4','A5','A5','A5','A4','A5','A4','A4','A4','A3','A3','A3','A4','A3','A4','A4','A3','A3','A4','A4','A3','A2','A4','A4','A3','A3','A4','A4','A4','A2','A4','A5','A4','A2','A4','A4','A4','A3','A4','A4','A3',1,1,1,0,0,0,0,1,'Bankangestellter','A6',,'A7',,'A3','A23',2,
81,,,'de','367539453','25-10-2021 13:10:21','25-10-2021 13:10:21',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,2,'de','103137272','25-10-2021 13:13:00','25-10-2021 13:15:23','A4','A5','A4','A5','A5','A5','A5','A5','A5','A3','A3','A4','A4','A3','A3','A3','A3','A4',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,1,'de','1094834728','25-10-2021 13:13:47','25-10-2021 13:15:14','A5','A4','A4','A5','A5','A5','A4','A3','A3',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,2,'de','2061794715','25-10-2021 13:17:57','25-10-2021 13:21:58','A5','A4','A4','A5','A3','A5','A5','A2','A4','A4','A2','A2','A3','A4','A2','A4','A2','A2',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,2,'de','416333203','25-10-2021 13:18:48','25-10-2021 13:21:52','A4','A2','A2','A4','A5','A4','A5','A3','A5','A2','A4','A2','A4','A3','A3','A3','A3','A3',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,2,'de','751739209','25-10-2021 13:20:26','25-10-2021 13:26:44','A4','A2','A3','A4','A4','A3','A4','A2','A2','A3','A2','A2','A3','A4','A2','A3','A1','A1',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,'de','77858727','25-10-2021 13:22:07','25-10-2021 13:22:07',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,1,'de','686594369','25-10-2021 13:24:03','25-10-2021 13:25:10','A3','A3','A4','A4','A5','A3','A4','A4','A4',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,'25-10-2021 13:36:14',5,'de','271954019','25-10-2021 13:26:33','25-10-2021 13:36:14','A5','A4','A4','A5','A5','A4','A5','A3','A5','A4','A4','A4','A4','A4','A4','A3','A4','A4','A2','A5','A3','A3','A2','A4','A3','A3','A3','A5','A4','A4','A5','A5','A5','A5','A5','A5','A5','A5','A5','A5','A5','A5',0,0,1,0,0,0,0,1,'Fachfrau Kinderbetreuerin Praktikum Information und Dokumentation im Berufsinformationszentrum St. Gallen','A7',,'A13',,'A3','A26',1,
